,0,1,2,3,4,5,6,7
2023-11-29,DETZ23 Comdty,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty
2023-12-06,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty
2023-12-13,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty
2023-12-20,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty
2023-12-27,DETF24 Comdty,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty
2024-01-03,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty
2024-01-10,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty
2024-01-17,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty
2024-01-24,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty
2024-01-31,DETG24 Comdty,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty
2024-02-07,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty
2024-02-14,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty
2024-02-21,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty
2024-02-28,DETH24 Comdty,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty
2024-03-06,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty
2024-03-13,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty
2024-03-20,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty
2024-03-27,DETJ24 Comdty,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty
2024-04-03,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty
2024-04-10,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty
2024-04-17,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty
2024-04-24,DETK24 Comdty,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty
2024-05-03,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty
2024-05-08,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty
2024-05-15,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty
2024-05-22,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty
2024-05-29,DETM24 Comdty,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty
2024-06-05,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty
2024-06-12,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty
2024-06-19,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty
2024-06-26,DETN24 Comdty,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty
2024-07-03,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty
2024-07-10,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty
2024-07-17,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty
2024-07-24,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty
2024-07-31,DETQ24 Comdty,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty
2024-08-07,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty
2024-08-14,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty
2024-08-21,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty
2024-08-28,DETU24 Comdty,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty
2024-09-04,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty
2024-09-11,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty
2024-09-18,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty
2024-09-25,DETV24 Comdty,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty
2024-10-02,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty
2024-10-09,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty
2024-10-16,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty
2024-10-23,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty
2024-10-30,DETX24 Comdty,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty
2024-11-06,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty
2024-11-13,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty
2024-11-20,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty
2024-11-27,DETZ24 Comdty,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty
2024-12-04,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty
2024-12-11,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty
2024-12-18,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty
2024-12-27,DETF25 Comdty,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty
2025-01-03,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty
2025-01-08,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty
2025-01-15,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty
2025-01-22,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty
2025-01-29,DETG25 Comdty,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty
2025-02-05,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty
2025-02-12,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty
2025-02-19,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty
2025-02-26,DETH25 Comdty,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty
2025-03-05,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty
2025-03-12,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty
2025-03-19,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty
2025-03-26,DETJ25 Comdty,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty
2025-04-02,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty
2025-04-09,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty
2025-04-16,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty
2025-04-23,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty
2025-04-30,DETK25 Comdty,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty
2025-05-07,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty
2025-05-14,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty
2025-05-21,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty
2025-05-28,DETM25 Comdty,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty
2025-06-04,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty
2025-06-11,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty
2025-06-18,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty
2025-06-25,DETN25 Comdty,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty
2025-07-02,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty
2025-07-09,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty
2025-07-16,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty
2025-07-23,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty
2025-07-30,DETQ25 Comdty,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty
2025-08-06,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty
2025-08-13,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty
2025-08-20,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty
2025-08-27,DETU25 Comdty,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty
2025-09-03,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty
2025-09-10,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty
2025-09-17,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty
2025-09-24,DETV25 Comdty,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty
2025-10-01,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty,DETM26 Comdty
2025-10-08,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty,DETM26 Comdty
2025-10-15,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty,DETM26 Comdty
2025-10-22,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty,DETM26 Comdty
2025-10-29,DETX25 Comdty,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty,DETM26 Comdty
2025-11-05,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty,DETM26 Comdty,DETN26 Comdty
2025-11-12,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty,DETM26 Comdty,DETN26 Comdty
2025-11-19,DETZ25 Comdty,DETF26 Comdty,DETG26 Comdty,DETH26 Comdty,DETJ26 Comdty,DETK26 Comdty,DETM26 Comdty,DETN26 Comdty
