trade_date,ticker,settle,volume,open_interest,stale_flag,delivery_start,delivery_end,last_trade_date,delivery_hours,delivery_month,tau_start,tau_end,log_settle,tau_mid,gbar
2018-10-10,DETM19 Comdty,49.21,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6406570841889117,0.7200547570157426,3.8960968548778867,0.6817248459958934,-0.07242049460277883
2018-10-10,DETN19 Comdty,48.54,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.7227926078028748,0.8049281314168378,3.8823882002984553,0.7652292950034224,-0.05881808983876767
2018-10-11,DETX18 Comdty,58.73,309.0,54705.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.057494866529774126,0.13689253935660506,4.072950669534428,0.09856262833675564,0.07805214316954537
2018-10-11,DETZ18 Comdty,52.9,117.0,46148.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.13963039014373715,0.22176591375770022,3.9684033388642534,0.18206707734428473,0.06748273715685232
2018-10-11,DETF19 Comdty,61.02,50.0,198.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.2245037645448323,0.3066392881587953,4.1112016792885235,0.26694045174537984,0.10206195852128871
2018-10-11,DETG19 Comdty,60.71,5.0,5.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.30937713894592744,0.38329911019849416,4.106108429142343,0.3477070499657768,0.11303599030532344
2018-10-11,DETH19 Comdty,52.07,20.0,20.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.3860369609856263,0.4681724845995893,3.952588967174808,0.42841837529006754,0.019423480986820837
2018-10-11,DETJ19 Comdty,48.9,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.47091033538672145,0.5503080082135524,3.8897773964808264,0.5119780971937029,-0.10566847500175262
2018-10-11,DETK19 Comdty,44.32,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5530458590006845,0.6351813826146475,3.7914360424390283,0.595482546201232,-0.12598134154011997
2018-10-11,DETM19 Comdty,47.53,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6379192334017796,0.7173169062286106,3.861361090625918,0.6789869952087613,-0.07242049460277887
2018-10-11,DETN19 Comdty,47.05,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.7200547570157426,0.8021902806297057,3.8512108660313884,0.7624914442162902,-0.058818089838767684
2018-10-12,DETX18 Comdty,59.37,593.0,55391.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.05475701574264202,0.13415468856947296,4.083789048282584,0.09582477754962354,0.07805214316954534
2018-10-12,DETZ18 Comdty,53.75,45.0,46205.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.13689253935660506,0.2190280629705681,3.984343667007772,0.17932922655715264,0.06748273715685234
2018-10-12,DETF19 Comdty,62.31,2.0,200.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.22176591375770022,0.30390143737166325,4.132121926556131,0.2642026009582477,0.10206195852128874
2018-10-12,DETG19 Comdty,62.04,5.0,5.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.3066392881587953,0.3805612594113621,4.127779338308338,0.3449691991786447,0.11303599030532338
2018-10-12,DETH19 Comdty,53.69,20.0,20.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.38329911019849416,0.4654346338124572,3.983226764434478,0.4256805245029354,0.01942348098682074
2018-10-12,DETJ19 Comdty,50.55,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.4681724845995893,0.5475701574264202,3.9229629454664803,0.5092402464065708,-0.10566847500175272
2018-10-12,DETK19 Comdty,45.86,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5503080082135524,0.6324435318275154,3.8255932774297583,0.5927446954140999,-0.12598134154011995
2018-10-12,DETM19 Comdty,49.17,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6351813826146475,0.7145790554414785,3.895283681423848,0.6762491444216292,-0.07242049460277883
2018-10-12,DETN19 Comdty,48.61,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.7173169062286106,0.7994524298425736,3.883829271057364,0.759753593429158,-0.0588180898387677
2018-10-15,DETX18 Comdty,59.12,149.0,55914.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.04654346338124572,0.12594113620807665,4.079569276639947,0.08761122518822724,0.0780521431695454
2018-10-15,DETZ18 Comdty,53.73,38.0,46460.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.12867898699520877,0.2108145106091718,3.98397150474073,0.17111567419575635,0.06748273715685232
2018-10-15,DETF19 Comdty,61.82,15.0,215.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.2135523613963039,0.29568788501026694,4.124226936703971,0.2559890485968515,0.1020619585212887
2018-10-15,DETG19 Comdty,61.5,5.0,5.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.29842573579739906,0.3723477070499658,4.119037174812473,0.3367556468172485,0.11303599030532345
2018-10-15,DETH19 Comdty,51.69,20.0,20.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.3750855578370979,0.45722108145106094,3.945264339207948,0.4174669721415392,0.0194234809868209
2018-10-15,DETJ19 Comdty,49.82,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.459958932238193,0.5393566050650239,3.9084165098340344,0.5010266940451745,-0.10566847500175258
2018-10-15,DETK19 Comdty,45.2,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5420944558521561,0.6242299794661191,3.8110970868381857,0.5845311430527036,-0.12598134154012
2018-10-15,DETM19 Comdty,48.46,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6269678302532512,0.7063655030800822,3.8807387153883797,0.6680355920602327,-0.07242049460277886
2018-10-15,DETN19 Comdty,47.99,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.7091033538672142,0.7912388774811773,3.8709926558701544,0.7515400410677617,-0.058818089838767684
2018-10-16,DETX18 Comdty,59.25,348.0,56678.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.04380561259411362,0.12320328542094455,4.081765780015241,0.08487337440109513,0.07805214316954534
2018-10-16,DETZ18 Comdty,53.47,24.0,46517.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.12594113620807665,0.2080766598220397,3.97912074896064,0.1683778234086242,0.06748273715685232
2018-10-16,DETF19 Comdty,61.7,15.0,215.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.2108145106091718,0.2929500342231348,4.122283930911342,0.2532511978097194,0.10206195852128873
2018-10-16,DETG19 Comdty,61.52,5.0,5.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.29568788501026694,0.36960985626283366,4.119362325197389,0.3340177960301164,0.11303599030532341
2018-10-16,DETH19 Comdty,52.67,10.0,30.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.3723477070499658,0.4544832306639288,3.964046033495298,0.4147291213544071,0.019423480986820774
2018-10-16,DETJ19 Comdty,49.85,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.45722108145106094,0.5366187542778919,3.9090184964078474,0.4982888432580424,-0.10566847500175269
2018-10-16,DETK19 Comdty,45.25,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5393566050650239,0.621492128678987,3.8122026701459353,0.5817932922655715,-0.12598134154011995
2018-10-16,DETM19 Comdty,48.51,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6242299794661191,0.70362765229295,3.8817699622571253,0.6652977412731006,-0.07242049460277883
2018-10-16,DETN19 Comdty,47.94,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.7063655030800822,0.7885010266940452,3.869950229006238,0.7488021902806298,-0.05881808983876768
2018-10-17,DETX18 Comdty,59.1,256.0,57171.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.04106776180698152,0.12046543463381246,4.079230924412053,0.08213552361396305,0.07805214316954534
2018-10-17,DETZ18 Comdty,53.26,26.0,46624.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.12320328542094455,0.2053388090349076,3.9751855803857863,0.16563997262149213,0.06748273715685234
2018-10-17,DETF19 Comdty,60.85,11.0,226.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.2080766598220397,0.29021218343600275,4.108411819433536,0.2505133470225873,0.10206195852128871
2018-10-17,DETG19 Comdty,60.67,2.0,7.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.2929500342231348,0.3668720054757016,4.105449341954206,0.33127994524298426,0.11303599030532342
2018-10-17,DETH19 Comdty,51.88,2.0,32.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.36960985626283366,0.4517453798767967,3.948933359448243,0.41199127056727497,0.019423480986820816
2018-10-17,DETJ19 Comdty,49.65,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.4544832306639288,0.5338809034907598,3.9049983904911816,0.4955509924709103,-0.10566847500175265
2018-10-17,DETK19 Comdty,45.0,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5366187542778919,0.6187542778918549,3.8066624897703196,0.5790554414784393,-0.12598134154011997
2018-10-17,DETM19 Comdty,48.26,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.621492128678987,0.7008898015058179,3.8766030601968855,0.6625598904859684,-0.07242049460277886
2018-10-17,DETN19 Comdty,47.64,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.70362765229295,0.785763175906913,3.8636727444870993,0.7460643394934976,-0.058818089838767684
2018-10-18,DETX18 Comdty,60.14,295.0,57816.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.038329911019849415,0.11772758384668036,4.096675177560383,0.07939767282683094,0.07805214316954537
2018-10-18,DETZ18 Comdty,53.55,58.0,46678.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.12046543463381246,0.2026009582477755,3.980615796893758,0.16290212183436004,0.06748273715685232
2018-10-18,DETF19 Comdty,61.07,11.0,226.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.2053388090349076,0.2874743326488706,4.112020747235043,0.24777549623545517,0.10206195852128871
2018-10-18,DETG19 Comdty,60.75,5.0,12.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.29021218343600275,0.36413415468856947,4.1067670822206574,0.32854209445585214,0.11303599030532345
2018-10-18,DETH19 Comdty,51.66,2.0,32.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.3668720054757016,0.4490075290896646,3.9446837876676946,0.4092534197801429,0.01942348098682086
2018-10-18,DETJ19 Comdty,49.96,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.4517453798767967,0.5311430527036276,3.911222685257377,0.49281314168377816,-0.10566847500175261
2018-10-18,DETK19 Comdty,45.26,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5338809034907598,0.6160164271047228,3.8124236402053913,0.5763175906913073,-0.12598134154012
2018-10-18,DETM19 Comdty,48.56,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6187542778918549,0.6981519507186859,3.8828001467512427,0.6598220396988362,-0.07242049460277887
2018-10-18,DETN19 Comdty,48.04,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.7008898015058179,0.783025325119781,3.872033997211783,0.7433264887063655,-0.05881808983876768
2018-10-19,DETX18 Comdty,61.56,357.0,58348.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.03559206023271732,0.11498973305954825,4.120012308970678,0.07665982203969884,0.07805214316954533
2018-10-19,DETZ18 Comdty,54.88,11.0,46753.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.11772758384668036,0.1998631074606434,4.00514898341763,0.16016427104722797,0.06748273715685234
2018-10-19,DETF19 Comdty,62.81,11.0,226.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.2026009582477755,0.28473648186173856,4.140114296466289,0.24503764544832304,0.10206195852128873
2018-10-19,DETG19 Comdty,62.88,5.0,12.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.2874743326488706,0.3613963039014374,4.141228148120951,0.3258042436687201,0.11303599030532341
2018-10-19,DETH19 Comdty,53.57,2.0,32.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.36413415468856947,0.4462696783025325,3.980989209892869,0.4065155689930108,0.019423480986820753
2018-10-19,DETJ19 Comdty,51.55,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.4490075290896646,0.5284052019164955,3.942552210462969,0.49007529089664614,-0.10566847500175269
2018-10-19,DETK19 Comdty,46.77,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5311430527036276,0.6132785763175906,3.845241971737795,0.5735797399041751,-0.12598134154011995
2018-10-19,DETM19 Comdty,50.16,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6160164271047228,0.6954140999315537,3.9152178963246653,0.6570841889117042,-0.07242049460277883
2018-10-19,DETN19 Comdty,49.45,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.6981519507186859,0.7802874743326489,3.900962058068721,0.7405886379192334,-0.058818089838767684
2018-10-22,DETX18 Comdty,59.75,325.0,58965.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.02737850787132101,0.10677618069815195,4.09016919081162,0.06844626967830254,0.07805214316954534
2018-10-22,DETZ18 Comdty,53.64,77.0,46840.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.10951403148528405,0.19164955509924708,3.9822950584134778,0.1519507186858316,0.06748273715685232
2018-10-22,DETF19 Comdty,61.3,11.0,226.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.1943874058863792,0.27652292950034224,4.115779842942166,0.23682409308692676,0.10206195852128873
2018-10-22,DETG19 Comdty,61.21,5.0,12.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.2792607802874743,0.3531827515400411,4.114310574862978,0.31759069130732376,0.11303599030532338
2018-10-22,DETH19 Comdty,52.28,5.0,37.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.35592060232717315,0.4380561259411362,3.956613888756021,0.3983020166316144,0.01942348098682074
2018-10-22,DETJ19 Comdty,50.41,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.4407939767282683,0.5201916495550992,3.9201895680945396,0.4818617385352499,-0.10566847500175272
2018-10-22,DETK19 Comdty,45.71,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5229295003422314,0.6050650239561944,3.822317092343653,0.5653661875427789,-0.12598134154011995
2018-10-22,DETM19 Comdty,49.03,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6078028747433265,0.6872005475701575,3.892432355663142,0.6488706365503079,-0.07242049460277883
2018-10-22,DETN19 Comdty,48.83,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.6899383983572895,0.7720739219712526,3.888344878073569,0.732375085557837,-0.0588180898387677
2018-10-23,DETX18 Comdty,59.33,568.0,60271.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.024640657084188913,0.10403832991101986,4.083115080270552,0.06570841889117043,0.07805214316954534
2018-10-23,DETZ18 Comdty,53.48,152.0,47111.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.10677618069815195,0.188911704312115,3.9793077522337423,0.14921286789869947,0.06748273715685232
2018-10-23,DETF19 Comdty,60.95,5.0,231.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.19164955509924708,0.2737850787132101,4.110053855927281,0.23408624229979466,0.10206195852128871
2018-10-23,DETG19 Comdty,60.8,5.0,12.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.27652292950034224,0.35044490075290896,4.107589788972121,0.31485284052019163,0.11303599030532341
2018-10-23,DETH19 Comdty,51.8,5.0,37.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.3531827515400411,0.4353182751540041,3.9473901492654373,0.3955641658444823,0.01942348098682081
2018-10-23,DETJ19 Comdty,49.93,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.4380561259411362,0.5174537987679672,3.910622024512518,0.47912388774811776,-0.10566847500175269
2018-10-23,DETK19 Comdty,45.35,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5201916495550992,0.6023271731690623,3.814410176561146,0.5626283367556468,-0.12598134154011995
2018-10-23,DETM19 Comdty,48.63,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6050650239561944,0.6844626967830253,3.8842406244156944,0.6461327857631758,-0.07242049460277883
2018-10-23,DETN19 Comdty,48.19,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.6872005475701575,0.7693360711841205,3.8751515306522415,0.729637234770705,-0.05881808983876767
2018-10-24,DETX18 Comdty,59.99,273.0,60962.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.02190280629705681,0.10130047912388775,4.094177881665002,0.06297056810403834,0.07805214316954535
2018-10-24,DETZ18 Comdty,54.32,79.0,47239.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.10403832991101986,0.1861738535249829,3.9948924832504407,0.14647501711156738,0.06748273715685232
2018-10-24,DETF19 Comdty,61.57,10.0,241.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.188911704312115,0.27104722792607805,4.120174738923119,0.23134839151266257,0.10206195852128871
2018-10-24,DETG19 Comdty,61.68,5.0,12.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.2737850787132101,0.34770704996577684,4.1219597292550745,0.3121149897330595,0.11303599030532342
2018-10-24,DETH19 Comdty,52.98,5.0,37.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.35044490075290896,0.432580424366872,3.9699144838439238,0.3928263150573502,0.019423480986820837
2018-10-24,DETJ19 Comdty,50.48,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.4353182751540041,0.5147159479808351,3.9215772182329576,0.4763860369609857,-0.10566847500175267
2018-10-24,DETK19 Comdty,45.89,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5174537987679672,0.5995893223819302,3.8262472284067424,0.5598904859685147,-0.12598134154011997
2018-10-24,DETM19 Comdty,49.21,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.6023271731690623,0.6817248459958932,3.8960968548778867,0.6433949349760438,-0.07242049460277886
2018-10-24,DETN19 Comdty,48.59,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.6844626967830253,0.7665982203969883,3.883417748417812,0.7268993839835729,-0.05881808983876769
2018-10-25,DETX18 Comdty,58.26,289.0,61743.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.019164955509924708,0.09856262833675565,4.064915751531289,0.06023271731690623,0.0780521431695454
2018-10-25,DETZ18 Comdty,53.05,268.0,47799.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.10130047912388775,0.1834360027378508,3.971234865059992,0.14373716632443528,0.06748273715685232
2018-10-25,DETF19 Comdty,60.8,30.0,251.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.1861738535249829,0.2683093771389459,4.107589788972121,0.22861054072553047,0.1020619585212887
2018-10-25,DETG19 Comdty,60.58,5.0,12.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.27104722792607805,0.34496919917864477,4.103964805599091,0.30937713894592744,0.11303599030532345
2018-10-25,DETH19 Comdty,51.79,5.0,47.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.34770704996577684,0.42984257357973993,3.9471970804358,0.39008846427021815,0.0194234809868209
2018-10-25,DETJ19 Comdty,49.9,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.432580424366872,0.5119780971937029,3.910021002757473,0.4736481861738535,-0.10566847500175261
2018-10-25,DETK19 Comdty,45.23,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5147159479808351,0.5968514715947981,3.8117605834897517,0.5571526351813825,-0.12598134154012
2018-10-25,DETM19 Comdty,48.5,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.5995893223819302,0.6789869952087612,3.8815637979434374,0.6406570841889118,-0.07242049460277886
2018-10-25,DETN19 Comdty,47.99,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.6817248459958932,0.7638603696098563,3.8709926558701544,0.7241615331964407,-0.058818089838767684
2018-10-26,DETX18 Comdty,56.42,228.0,62528.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.01642710472279261,0.09582477754962354,4.0328237055738505,0.057494866529774126,0.07805214316954534
2018-10-26,DETZ18 Comdty,52.34,235.0,48111.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.09856262833675565,0.1806981519507187,3.9577608971019997,0.1409993155373032,0.06748273715685232
2018-10-26,DETF19 Comdty,60.16,10.0,261.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.1834360027378508,0.2655715263518138,4.097007679641584,0.22587268993839837,0.10206195852128871
2018-10-26,DETG19 Comdty,59.04,10.0,27.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.2683093771389459,0.34223134839151265,4.078215180292217,0.3066392881587954,0.11303599030532341
2018-10-26,DETH19 Comdty,49.92,15.0,62.0,False,2019-03-01,2019-03-31,2019-03-29,743,3,0.34496919917864477,0.4271047227926078,3.9104217240611723,0.387350613483086,0.019423480986820774
2018-10-26,DETJ19 Comdty,49.14,,,False,2019-04-01,2019-04-30,2019-04-29,720,4,0.42984257357973993,0.5092402464065708,3.894673367093033,0.47091033538672133,-0.10566847500175269
2018-10-26,DETK19 Comdty,44.49,,,False,2019-05-01,2019-05-31,2019-05-30,744,5,0.5119780971937029,0.5941136208076659,3.7952644448179504,0.5544147843942505,-0.12598134154011995
2018-10-26,DETM19 Comdty,47.7,,,False,2019-06-01,2019-06-30,2019-06-28,720,6,0.5968514715947981,0.676249144421629,3.8649313978942956,0.6379192334017798,-0.07242049460277883
2018-10-26,DETN19 Comdty,47.3,,,False,2019-07-01,2019-07-31,2019-07-30,744,7,0.6789869952087612,0.7611225188227242,3.856510295497887,0.7214236824093087,-0.05881808983876768
2018-10-29,DETX18 Comdty,55.5,91.0,63001.0,False,2018-11-01,2018-11-30,2018-11-29,720,11,0.008213552361396304,0.08761122518822724,4.0163830207523885,0.04928131416837782,0.07805214316954533
2018-10-29,DETZ18 Comdty,50.65,345.0,48528.0,False,2018-12-01,2018-12-31,2018-12-31,744,12,0.09034907597535935,0.17248459958932238,3.9249392306946924,0.13278576317590693,0.06748273715685234
2018-10-29,DETF19 Comdty,59.45,61.0,322.0,False,2019-01-01,2019-01-31,2019-01-30,744,1,0.17522245037645448,0.25735797399041754,4.085135623136791,0.21765913757700203,0.10206195852128873
2018-10-29,DETG19 Comdty,57.9,10.0,27.0,False,2019-02-01,2019-02-28,2019-02-27,672,2,0.2600958247775496,0.33401779603011633,4.05871738457895,0.298425735797399,0.11303599030532341
