,0,1,2,3,4,5,6,7
2020-01-22,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty
2020-01-29,DETG20 Comdty,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty
2020-02-05,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty
2020-02-12,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty
2020-02-19,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty
2020-02-26,DETH20 Comdty,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty
2020-03-04,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty
2020-03-11,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty
2020-03-18,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty
2020-03-25,DETJ20 Comdty,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty
2020-04-01,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty
2020-04-08,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty
2020-04-15,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty
2020-04-22,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty
2020-04-29,DETK20 Comdty,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty
2020-05-06,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty
2020-05-13,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty
2020-05-20,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty
2020-05-27,DETM20 Comdty,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty
2020-06-03,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty
2020-06-10,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty
2020-06-17,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty
2020-06-24,DETN20 Comdty,DETQ20 Comdty,DETU20 Comdty,DETV20 Comdty,DETX20 Comdty,DETZ20 Comdty,DETF21 Comdty,DETG21 Comdty
